,TERM,IDF
306,کیانگ,9.134322885552267
307,پرگار,9.134322885552267
308,آر-,9.134322885552267
309,بانشاط,7.524884973118167
310,دوشیدن,9.134322885552267
311,۴۵/۳۱,9.134322885552267
312,اسکیزوفرنی,8.441175704992322
313,ضداسرائیلی,9.134322885552267
314,چیزا,9.134322885552267
315,اسکتوا,9.134322885552267
316,نافرمانی‌ها,9.134322885552267
317,سبزواران-,9.134322885552267
318,نتیجه,1.9899157052311278
319,امیدوارکننده‌ترین,9.134322885552267
320,fortum,9.134322885552267
321,درمشهد,8.441175704992322
322,پرکشش,7.748028524432376
323,می‌نوشتی,9.134322885552267
324,رادکلیف,8.441175704992322
325,احساساتشان,8.441175704992322
326,طولانی‌ترین,6.3617341633124855
327,ندامتگاه‌های,9.134322885552267
328,استادیار,7.188412736496954
329,مشابهت‌های,9.134322885552267
330,الشهدای,9.134322885552267
331,پژوهشکده‌های,8.441175704992322
332,چالوس-,8.441175704992322
333,خواهی_،,7.342563416324212
334,نیاکانی,8.441175704992322
335,استعلایی,7.188412736496954
336,نخواهیم_گذشت,8.441175704992322
337,ریژکوف,9.134322885552267
338,واکسنی,6.495265555937008
339,۱۲۹۲,8.441175704992322
340,وحش,5.183079166970839
341,متعصب‌های,9.134322885552267
342,شیستوزوماهماتوبیوم,9.134322885552267
343,عتاب,8.441175704992322
344,۷۵۱۶,9.134322885552267
345,اخلاصی,8.441175704992322
346,مومنان,6.189883906385826
347,سگار,9.134322885552267
348,حضورهنرمندان,9.134322885552267
349,می‌شد-,9.134322885552267
350,مستندسازان,8.035710596884158
351,۱۸۵۰,8.035710596884158
352,انفجار‌ها,8.035710596884158
353,",",7.342563416324212
354,خجیر,7.188412736496954
355,حوداث-,9.134322885552267
356,۱۰/۸۵,8.441175704992322
357,پروا,7.054881343872431
358,دلارهای,7.188412736496954
359,تفاوت‌ها,5.6378153240857865
360,هادرین,9.134322885552267
361,می‌گفت,3.759044477868102
362,زره,7.054881343872431
363,متأهلی,9.134322885552267
364,کوچولوهای,8.441175704992322
365,اندساوند,9.134322885552267
366,استرلیزه,8.441175704992322
367,ملکوند,8.035710596884158
368,کیسینجر,8.441175704992322
369,سلوهای,9.134322885552267
370,پچ‌های,9.134322885552267
371,نانوای,9.134322885552267
372,درستکار,6.7364276127538965
373,ماهوی,6.831737792558221
374,پشیمانم,7.188412736496954
375,فروش,2.2980636082751995
376,مورلی,7.524884973118167
377,قلبم,8.035710596884158
378,خونسردیم,9.134322885552267
379,واسطه‌گری‌های,5.056785441646547
380,civilisatioal,9.134322885552267
381,گلشن,7.342563416324212
382,کشنده‌تر,8.441175704992322
383,دربندی,9.134322885552267
384,تصویرکردن,8.441175704992322
385,تصویرآفرینی,9.134322885552267
386,زیان‌ها,7.524884973118167
387,آیی,7.748028524432376
388,نایجل,9.134322885552267
389,دبورا,7.748028524432376
390,بجویم,9.134322885552267
391,جاکارتای,8.441175704992322
392,فروهی,9.134322885552267
393,گسست,6.243951127656103
394,وانهاد,8.441175704992322
395,تولیدمثل,7.748028524432376
396,آموختم,7.342563416324212
397,شما-,9.134322885552267
398,financial,9.134322885552267
399,گرفتین,9.134322885552267
400,صوفی,7.342563416324212
401,می‌تکاند,9.134322885552267
402,توجیبی‌های,9.134322885552267
403,ومشارکت,9.134322885552267
404,شاگردهای,9.134322885552267
405,مرمری,9.134322885552267
406,قائلیم,8.441175704992322
407,موردنگرانی,9.134322885552267
408,گواهینامه,5.578974824062853
409,دورنماندن,9.134322885552267
410,محله‌اش,9.134322885552267
411,ویستای,8.441175704992322
412,۳۱/۰,9.134322885552267
413,امیدی,5.373122769858704
414,پرمعناترین,9.134322885552267
415,هنرتدوین,8.441175704992322
416,اقرارنامه‌ای,9.134322885552267
417,مغاربه,9.134322885552267
418,دیراک,9.134322885552267
419,مجازهستند,9.134322885552267
420,چهارمحال,5.956269055204321
421,جاب,9.134322885552267
422,وصالی,9.134322885552267
423,مهروا,9.134322885552267
424,سفرکارت,8.441175704992322
425,کند-,7.342563416324212
426,مردگان,6.089800447828844
427,۷هزارو,9.134322885552267
428,vodsl,9.134322885552267
429,سرجیکال,9.134322885552267
430,ریسندگی,9.134322885552267
431,۷۷۰,7.342563416324212
432,بخواد,9.134322885552267
433,بلوری,7.054881343872431
434,شارلاتان,8.441175704992322
435,آمپول,6.56937352809073
436,خانواده-,8.441175704992322
437,بلوریان,9.134322885552267
438,national,8.441175704992322
439,۳عنوان,9.134322885552267
440,زهرا,4.569974694084431
441,می‌آساید,9.134322885552267
442,مطالعه‌ام,9.134322885552267
443,مازندرانc,9.134322885552267
444,ناتوان‌تر,8.441175704992322
445,ولوشین,9.134322885552267
446,حواشی,6.043280432193951
447,یامشخص,9.134322885552267
448,دوفسقلی,9.134322885552267
449,چلچله,9.134322885552267
450,خصوصیات,4.790517463698583
451,هیرکانی,7.524884973118167
452,جوهرهای,9.134322885552267
453,حرفهای,6.043280432193951
454,دیگری,1.8217693874496692
455,دردسرهای,6.56937352809073
456,ابوظبی,6.043280432193951
457,که۲,8.441175704992322
458,فضاپیما,6.3617341633124855
459,دانش‌های,6.649416235764266
460,بلندگوهای,7.342563416324212
461,الکوت,9.134322885552267
462,جرمم,9.134322885552267
463,فالحق,9.134322885552267
464,زیرکارانه,9.134322885552267
465,نیکسون,7.054881343872431
466,آتن,6.138590611998276
467,استوانه,7.342563416324212
468,کرده_بود,2.571878791858547
469,هشداری,5.956269055204321
470,همه‌ی,8.035710596884158
471,وینی,8.441175704992322
472,پوربهزاد,9.134322885552267
473,گذشته‌ها,8.441175704992322
474,برعهدة,9.134322885552267
475,کشیدنی,9.134322885552267
476,دلمرده,9.134322885552267
477,محمدرضایی,9.134322885552267
478,فسفر,7.054881343872431
479,تفنگداران,6.649416235764266
480,مهداد,9.134322885552267
481,آورده_شده_است,7.054881343872431
482,کوکلس,9.134322885552267
483,رهبرانی,7.342563416324212
484,۵۴۵,7.748028524432376
485,قضیه‌های,9.134322885552267
486,خیرنبینی,9.134322885552267
487,کاهانی,7.524884973118167
488,والژان,9.134322885552267
489,چوب‌های,8.441175704992322
490,جیوه,6.831737792558221
491,دایتون,9.134322885552267
492,ماههاست,9.134322885552267
493,میسل,9.134322885552267
494,همگونی,7.054881343872431
495,تاکیدبراینکه,9.134322885552267
496,همدوس,9.134322885552267
497,ومن,9.134322885552267
498,رابه,6.56937352809073
499,کونوکو,9.134322885552267
500,توصیفی-,9.134322885552267
501,عدن,9.134322885552267
502,دارجیس,9.134322885552267
503,خورشخانه,8.035710596884158
504,تهرانی‌های,9.134322885552267
505,هنردوست,8.441175704992322
506,نمایشگر‌ها,8.441175704992322
507,طلبید,7.748028524432376
508,مستعد,5.222299880124121
509,آتلانتیس,8.441175704992322
510,اجزا,7.188412736496954
511,بهره,2.218599436920953
512,چچنی‌ها,9.134322885552267
513,امیرها,9.134322885552267
514,کرده_بودیم,5.550803947096157
515,طلبیده‌اند,9.134322885552267
516,فراشمول,9.134322885552267
517,دبستانی,5.6378153240857865
518,خودبخود,8.035710596884158
519,پسرعمه‌اش,9.134322885552267
520,افزارمیکروسافت,9.134322885552267
521,پور‎/,8.035710596884158
522,درسخنانی,9.134322885552267
523,عدلشان,9.134322885552267
524,تصیمم,9.134322885552267
525,واعتراض,9.134322885552267
526,کک‌های,9.134322885552267
527,ژبار,8.441175704992322
528,شناژهای,9.134322885552267
529,وسیله‌ها,9.134322885552267
530,الدیانون,9.134322885552267
531,۵۰۳۸۴۲,9.134322885552267
532,sql,9.134322885552267
533,بجوزجانان,9.134322885552267
534,غالبش,9.134322885552267
535,۰۸۱,9.134322885552267
536,تاخت,6.7364276127538965
537,tmu,9.134322885552267
538,عافیتی,9.134322885552267
539,بیومارکرهایی,9.134322885552267
540,قشربندی,8.441175704992322
541,اعضا,4.509350072267996
542,چله,7.054881343872431
543,پهنادار,9.134322885552267
544,کقهرمان,9.134322885552267
545,برانا,8.441175704992322
546,خجسته‌ای,8.441175704992322
547,موادمخدربین,9.134322885552267
548,محوریت,4.803589545265936
549,بست,4.214341959724142
550,عاشقانه‌اش,8.441175704992322
551,digitalsign,9.134322885552267
552,چخماقی,9.134322885552267
553,دپاردون,9.134322885552267
554,جدیتی,9.134322885552267
555,۸۵,2.55646152783122
556,ناخواسته,4.727603638288014
557,مانده_باشید,9.134322885552267
558,سر,1.9294303753475939
559,مربرط,9.134322885552267
560,درژ,9.134322885552267
561,جگرکی‌ها,8.441175704992322
562,ببخشند,6.649416235764266
563,دژنراسیون,9.134322885552267
564,کمردرد,8.035710596884158
565,بسیارنگران,9.134322885552267
566,۷/۸,6.937098308216047
567,sempron,9.134322885552267
568,سالور,8.035710596884158
569,آمدنم,9.134322885552267
570,۱۵,2.250860299139174
571,نمیشود,9.134322885552267
572,سوگ,6.649416235764266
573,مشغله‌های,7.188412736496954
574,نوشانده,9.134322885552267
575,درپای,9.134322885552267
576,گرایش‌های,5.396653267268898
577,ایرانمذاکرات,9.134322885552267
578,نگاهسعید,9.134322885552267
579,اپک,8.441175704992322
580,اینگ,9.134322885552267
581,پیترا,9.134322885552267
582,المومن,9.134322885552267
583,می‌شده,4.944668143525841
584,۳۷۷.,9.134322885552267
585,می‌برنند,9.134322885552267
586,گرفته_می‌شویم,9.134322885552267
587,شعرخوانی,7.054881343872431
588,روشن‌ترین,8.441175704992322
589,احتمالی,3.3754211116749864
590,ترکش,7.342563416324212
591,اندونزی‎/,9.134322885552267
592,شاگردانی,8.035710596884158
593,مقاماتی,8.035710596884158
594,پرسوناها,9.134322885552267
595,فقل,8.441175704992322
596,نیوهوریزونز,9.134322885552267
597,درراستای,7.524884973118167
598,هوانورد,7.524884973118167
599,نظری-,7.524884973118167
600,happy,8.441175704992322
601,وجودآورنده,8.441175704992322
602,تعریف‌ها,8.441175704992322
603,آنتونلو,9.134322885552267
604,جعفرزاده,6.7364276127538965
605,آمفیزم,9.134322885552267
606,رفته‌تر,9.134322885552267
607,۴شلیک,9.134322885552267
608,یونیکد,9.134322885552267
609,شادی,4.580445993951726
610,بوده‌ای,9.134322885552267
611,محمدهادی,6.56937352809073
612,بیشاب,9.134322885552267
613,نمی‌توانم,5.126989700319796
614,کیسه‌ها,8.441175704992322
615,۷۵/۴۷,9.134322885552267
616,بیماریهای,5.202497252827941
617,یکدستی,8.035710596884158
618,اسکرین,7.748028524432376
619,رامونا,9.134322885552267
620,۱۸۶۴,9.134322885552267
621,می‌پیچند,8.441175704992322
622,لامپ,6.189883906385826
623,بگذاریم,4.975439802192595
624,نافرجامش,9.134322885552267
625,بینی,2.1921661798527974
626,خوبشان,7.748028524432376
627,سرصفحه,9.134322885552267
628,افز,9.134322885552267
629,بدش,7.054881343872431
630,می‌خندیم,9.134322885552267
631,بوالهوسی,9.134322885552267
632,نفل,9.134322885552267
633,history,8.035710596884158
634,امیراحمدی,9.134322885552267
635,ifo@herasat,9.134322885552267
636,قهقرایی,7.524884973118167
637,ژآن,8.035710596884158
638,معمار‎/,9.134322885552267
639,خدا-,9.134322885552267
640,بازگردانیم,7.748028524432376
641,وزارتش,9.134322885552267
642,آمریکایی‌گری,9.134322885552267
643,طبلا,9.134322885552267
644,می‌پوشانید,9.134322885552267
645,گذاشته_می‌شد,8.441175704992322
646,گسل,7.524884973118167
647,کخدا,9.134322885552267
648,درانتخابات,9.134322885552267
649,واگرا,9.134322885552267
650,اباعبدالله-,9.134322885552267
651,۱۴۹۸,9.134322885552267
652,۶۶۸,9.134322885552267
653,نوآورانه,7.748028524432376
654,امروزهمه,9.134322885552267
655,یاسینی,8.441175704992322
656,مآلا,9.134322885552267
657,ماکولار,9.134322885552267
658,تعاریفی,7.748028524432376
659,شورتر,8.441175704992322
660,ارمنستان,5.700335681067121
661,بروکراسی‌های,9.134322885552267
662,ضدتهوع,9.134322885552267
663,هیماوند,9.134322885552267
664,خشکید,9.134322885552267
665,مهاراجه,9.134322885552267
666,توانفرسا,9.134322885552267
667,کمترتوسعه,8.441175704992322
668,دیداری,5.24250258744164
669,می‌گیرند,2.8576793962106226
670,آمریکایی-,7.342563416324212
671,۴/۲۹۵,9.134322885552267
672,تهدید-,9.134322885552267
673,باتقوا,9.134322885552267
674,طلب,4.08446687830273
675,می‌دارند,5.523404972908042
676,موثرتر,6.243951127656103
677,کنجی,8.035710596884158
678,۲۲/۸/۱۳۵۷,9.134322885552267
679,۲۰.,9.134322885552267
680,نیروهایمان,8.035710596884158
681,دولو,9.134322885552267
682,ibb,9.134322885552267
683,شادکردن,9.134322885552267
684,دانیم,7.748028524432376
685,اوریال,9.134322885552267
686,دشمنش,9.134322885552267
687,فر,4.549355406881695
688,صنوبرها,9.134322885552267
689,تله‌اش,9.134322885552267
690,بشناسیم,5.6378153240857865
691,رسیده_بود,4.739873730879828
692,شناخت-,9.134322885552267
693,آبیجان,9.134322885552267
694,سیدباقر,8.441175704992322
695,باcd۴,9.134322885552267
696,اعتبار۶,9.134322885552267
697,بازلی,8.035710596884158
698,فرآیندی,5.523404972908042
699,درنوروز,8.441175704992322
700,چلیپا-,9.134322885552267
701,علقه‌های,9.134322885552267
702,الصالح,9.134322885552267
703,توانستید,7.748028524432376
704,للعالمین,9.134322885552267
705,مرسوم‌تر,9.134322885552267
706,۳۴۰۷۴,9.134322885552267
707,آلاسکا,7.524884973118167
708,اگررئیس,8.441175704992322
709,گفتگوهای,5.838486019547938
710,روشنمحدثه,9.134322885552267
711,جبیل,8.441175704992322
712,لطمه‌ها,8.441175704992322
713,دریافتی‌های,8.035710596884158
714,تکرارها,9.134322885552267
715,سامره,8.441175704992322
716,pg,9.134322885552267
717,غفاری-,9.134322885552267
718,بطن,5.550803947096157
719,ترانزیت,5.700335681067121
720,که‌ای,7.188412736496954
721,آهنگسازان,5.915447060684066
722,بلاغی,6.831737792558221
723,چپگرای,7.342563416324212
724,ایرانشناسی,8.441175704992322
725,وشروع,8.441175704992322
726,حالیکه,4.816834772015956
727,منتقدهای,9.134322885552267
728,تریلری,8.035710596884158
729,مارچلو,8.441175704992322
730,باکتر,8.441175704992322
731,منظردیوید,9.134322885552267
732,حدیدی,9.134322885552267
733,مداوما,8.441175704992322
734,صورتی,2.831703909807362
735,native,9.134322885552267
736,بر,0.4897924456748343
737,فشانی,8.441175704992322
738,خلوت‌تر,9.134322885552267
739,قلقلک-,9.134322885552267
740,امجدی,9.134322885552267
741,تفاوت‌های,4.816834772015956
742,برسرراه,9.134322885552267
743,برتون,7.524884973118167
744,زبانهاست,9.134322885552267
745,اورژانس‌ها,7.748028524432376
746,زرین‎/,9.134322885552267
747,۳۵۸,9.134322885552267
748,تجملاتی,9.134322885552267
749,رقابتها,7.748028524432376
750,نهالش,9.134322885552267
751,براقیت,9.134322885552267
752,پائین‌ترین,9.134322885552267
753,حمایت‌های,4.580445993951726
754,منزلی,6.649416235764266
755,نوتر,8.441175704992322
756,زمینه‌ای,4.843863444403875
757,گشاده,7.188412736496954
758,حدی,3.8925758704926245
759,هوشمندان,9.134322885552267
760,جنتی,6.495265555937008
761,مشخصه‌ها,7.524884973118167
762,ایلخانی,7.188412736496954
763,نقاله,7.748028524432376
764,خود‌ها,9.134322885552267
765,ucki,9.134322885552267
766,مانده‌اید,9.134322885552267
767,سقراطی,8.035710596884158
768,ویلایی,6.3617341633124855
769,می‌جوید,7.524884973118167
770,وچاپ,9.134322885552267
771,می‌ژدارد,9.134322885552267
772,بریزد,6.301109541496051
773,پرفسور,6.426272684450057
774,ویدئوهای,9.134322885552267
775,تأکیدنمود,9.134322885552267
776,سراجا,8.441175704992322
777,اطیعواالله,9.134322885552267
778,rosegarde,9.134322885552267
779,المحیط,8.441175704992322
780,قوللرآغاسی,9.134322885552267
781,صغیر,9.134322885552267
782,تسلیت,5.578974824062853
783,باشتین,9.134322885552267
784,۴۷/۳,9.134322885552267
785,فرماندهی‌های,9.134322885552267
786,القرنه,9.134322885552267
787,ایمیجز‎/,9.134322885552267
788,آتکینز,9.134322885552267
789,اورسلا,8.441175704992322
790,امیرلشگر,9.134322885552267
791,گرانتر,7.188412736496954
792,رینولدس,9.134322885552267
793,core۲,8.441175704992322
794,پرهیزدادو,9.134322885552267
795,النگوی,9.134322885552267
796,کزمان,9.134322885552267
797,یوس,9.134322885552267
798,۸۴/۰,9.134322885552267
799,آتشینی,8.441175704992322
800,ربات,6.426272684450057
801,دروغگوترین,9.134322885552267
802,برانداخت,8.441175704992322
803,اسرائیلیات,8.441175704992322
804,گذارومهم,9.134322885552267
805,۲۹۲,7.054881343872431
806,نمی‌دانستندچه,9.134322885552267
807,اعصابش,7.748028524432376
808,فرانسیسکو,6.831737792558221
809,آزمایش‌ها,5.802118375377063
810,عقلانی‌تر,8.441175704992322
811,وجو‌ها,9.134322885552267
812,داونر,7.748028524432376
813,پسرعمویش,8.035710596884158
814,سلیقه‌های,6.089800447828844
815,فولکس,7.342563416324212
816,از۹میلیون,9.134322885552267
817,نصارا,9.134322885552267
818,گوشتم,9.134322885552267
819,گریستیم,9.134322885552267
820,سیواکومار,9.134322885552267
821,۹۱۱,9.134322885552267
822,جوادیان,8.035710596884158
823,خواهیم_گرفت,6.937098308216047
824,شاد,4.830257792348097
825,فرآویزهای,9.134322885552267
826,دلچسب‌تری,9.134322885552267
827,فندقی,9.134322885552267
828,سواران,6.495265555937008
829,مدعیانه,9.134322885552267
830,قراردادهایشان,9.134322885552267
831,متوقف,3.3691317827674223
832,درگاه,6.831737792558221
833,می‌از,9.134322885552267
834,فیلسوفند,9.134322885552267
835,پیشگو,9.134322885552267
836,رمزی,6.831737792558221
837,بطور,4.406935066839926
838,امینه,9.134322885552267
